,time,year,month,day,latitude,longitude,mag,depth,Pais,PERIOD,MAG_SEG,NewDate,NewMonth,cluster_label,acum_day,ill_frac,r/km,dec,ra/h,ra/°,ill_frac_interpolated,r/km_interpolated,dec_interpolated,td_acc,td_acc_interpolated,ra/°_interpolated,ra/h_interpolated,DEC_SEG,DEC_INTERPOLATED_SEG,DEPTH_SEG,ACUM_DAY_SEG,LATITUDE_SEG,LONGITUDE_SEG,ILL_FRAC_SEG,ILL_FRAC_INTERPOLATED_SEG,RA/°_SEG,RA/H_SEG,R/KM_SEG,R/KM_INTERPOLATED_SEG,TD_ACC_INTERPOLATED_SEG,TD_ACC_SEG,RA/H_INTERPOLATED_SEG,RA/°_INTERPOLATED_SEG,week
175475,2011-03-12 23:17:12,2011,3,12,38.538,144.232,4.8,14.3,Japan,"[2008, 2013)",1,2011-03-07 23:17:12,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,49.8792476204838,387746.91500516736,23.768639946054137,0.546,0.5935436111111111,80.98369964816784,5.398913309877856,6,6,0,2,6,7,8,9,4,1,18,15,5,5,1,5,3
175476,2011-03-12 23:20:41,2011,3,12,37.998,142.282,5.4,23.5,Japan,"[2008, 2013)",3,2011-03-07 23:20:41,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,49.903658563489856,387733.92453590577,23.7692821814257,0.546,0.5936621412037036,81.01719895072249,5.401146596714833,6,6,1,2,6,7,8,9,4,1,18,15,5,5,1,5,3
175477,2011-03-12 23:24:48,2011,3,12,38.047,141.72,6.1,15.0,Japan,"[2008, 2013)",5,2011-03-07 23:24:48,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,49.93250785976974,387718.572163142,23.770041186864823,0.546,0.5938022222222222,81.0567890355598,5.403785935703987,6,6,0,2,6,7,8,9,4,1,18,15,5,5,1,5,3
175478,2011-03-12 23:37:22,2011,3,12,36.732,142.296,5.1,22.2,Japan,"[2008, 2013)",2,2011-03-07 23:37:22,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,50.02057413262413,387671.7070252318,23.772358150836883,0.546,0.5942298379629629,81.1776429787474,5.4118428652498265,6,6,1,2,6,7,8,10,4,1,18,15,5,5,1,5,3
175479,2011-03-12 23:40:48,2011,3,12,36.624,141.661,5.2,29.7,Japan,"[2008, 2013)",2,2011-03-07 23:40:48,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,50.04463467931909,387658.9030220361,23.772991167518903,0.546,0.5943466666666667,81.21066143006922,5.414044095337948,6,6,1,2,6,7,8,10,4,1,18,15,5,5,1,5,3
175481,2011-03-12 23:51:23,2011,3,12,37.075,143.387,5.0,21.0,Japan,"[2008, 2013)",1,2011-03-07 23:51:23,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,50.118801898500166,387619.4343714088,23.77494245680572,0.546,0.5947067939814814,81.31244160768742,5.420829440512494,6,6,1,2,6,7,8,10,4,1,18,15,5,5,1,5,3
175482,2011-03-12 23:53:42,2011,3,12,37.681,143.381,5.0,8.7,Japan,"[2008, 2013)",1,2011-03-07 23:53:42,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,50.13503692758075,387610.7947770195,23.775369589421256,0.546,0.594785625,81.33472104814243,5.422314736542829,6,6,0,2,6,7,8,10,4,1,18,15,5,5,1,5,3
175483,2011-03-12 23:57:33,2011,3,12,38.086,144.118,4.9,20.5,Japan,"[2008, 2013)",1,2011-03-07 23:57:33,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,50.16201744353481,387596.4368899409,23.776079428516145,0.546,0.5949166319444444,81.37174659307125,5.42478310620475,6,6,1,2,6,7,8,10,4,1,18,15,5,5,1,5,3
175485,2011-03-13 00:15:47,2011,3,13,36.571,141.804,4.8,23.3,Japan,"[2008, 2013)",1,2011-03-08 00:15:47,3,5,72,50.1791868627783,387587.300052709,23.7765311443038,5.4263538868987,81.3953083034805,50.29336610947102,387521.8639442484,23.76543734767929,0.595,0.5965892939814814,81.55098508081659,5.436732338721106,6,6,1,2,6,7,10,10,5,1,15,15,5,5,1,5,3
175486,2011-03-13 00:32:57,2011,3,13,36.008,140.868,5.0,24.2,Japan,"[2008, 2013)",1,2011-03-08 00:32:57,3,5,72,50.1791868627783,387587.300052709,23.7765311443038,5.4263538868987,81.3953083034805,50.41755261854548,387450.6926752784,23.753371233082422,0.595,0.5983178819444445,81.72030617971434,5.4480204119809565,6,6,1,2,6,7,10,10,5,1,15,15,5,5,1,5,3
